Date,Close
3/3/2015 16:00:00,34.56
3/4/2015 16:00:00,34.64
3/5/2015 16:00:00,34.47
3/6/2015 16:00:00,33.97
3/9/2015 16:00:00,34.03
3/10/2015 16:00:00,33.78
3/11/2015 16:00:00,33.63
3/12/2015 16:00:00,34
3/13/2015 16:00:00,34
3/16/2015 16:00:00,34.44
3/17/2015 16:00:00,34.17
3/18/2015 16:00:00,34.38
3/19/2015 16:00:00,34.15
3/20/2015 16:00:00,34.25
3/23/2015 16:00:00,35.05
3/24/2015 16:00:00,34.52
3/25/2015 16:00:00,34.3
3/26/2015 16:00:00,34.16
3/27/2015 16:00:00,34.53
3/30/2015 16:00:00,35
3/31/2015 16:00:00,34.79
4/1/2015 16:00:00,34.33
4/2/2015 16:00:00,34.38
4/6/2015 16:00:00,34.48
4/7/2015 16:00:00,34.54
4/8/2015 16:00:00,34.64
4/9/2015 16:00:00,35.03
4/10/2015 16:00:00,35.44
4/13/2015 16:00:00,35.09
4/14/2015 16:00:00,35.03
4/15/2015 16:00:00,35.21
4/16/2015 16:00:00,35.19
4/17/2015 16:00:00,35.04
4/20/2015 16:00:00,35.01
4/21/2015 16:00:00,34.89
4/22/2015 16:00:00,34.93
4/23/2015 16:00:00,35.36
4/24/2015 16:00:00,35.27
4/27/2015 16:00:00,34.59
4/28/2015 16:00:00,34.48
4/29/2015 16:00:00,34.29
4/30/2015 16:00:00,33.93
5/1/2015 16:00:00,34.08
5/4/2015 16:00:00,34.32
5/5/2015 16:00:00,34.12
5/6/2015 16:00:00,33.46
5/7/2015 16:00:00,33.58
5/8/2015 16:00:00,34.02
5/11/2015 16:00:00,33.96
5/12/2015 16:00:00,33.78
5/13/2015 16:00:00,33.53
5/14/2015 16:00:00,33.94
5/15/2015 16:00:00,33.99
5/18/2015 16:00:00,33.98
5/19/2015 16:00:00,34.21
5/20/2015 16:00:00,34.3
5/21/2015 16:00:00,34.36
5/22/2015 16:00:00,34.28
5/26/2015 16:00:00,34.11
5/27/2015 16:00:00,34.3
5/28/2015 16:00:00,34.44
5/29/2015 16:00:00,34.75
6/1/2015 16:00:00,34.56
6/2/2015 16:00:00,34.49
6/3/2015 16:00:00,34.41
6/4/2015 16:00:00,34.24
6/5/2015 16:00:00,34.09
6/8/2015 16:00:00,33.98
6/9/2015 16:00:00,34.01
6/10/2015 16:00:00,34.31
6/11/2015 16:00:00,34.46
6/12/2015 16:00:00,34.21
6/15/2015 16:00:00,34.04
6/16/2015 16:00:00,34.04
6/17/2015 16:00:00,33.98
6/18/2015 16:00:00,34.37
6/19/2015 16:00:00,34.18
6/22/2015 16:00:00,34.31
6/23/2015 16:00:00,34.5
6/24/2015 16:00:00,34.23
6/25/2015 16:00:00,34.02
6/26/2015 16:00:00,33.92
6/29/2015 16:00:00,33.59
6/30/2015 16:00:00,33.53
7/1/2015 16:00:00,33.69
7/2/2015 16:00:00,33.37
7/6/2015 16:00:00,33.25
7/7/2015 16:00:00,33.73
7/8/2015 16:00:00,33.45
7/9/2015 16:00:00,33.86
7/10/2015 16:00:00,34.36
7/13/2015 16:00:00,34.82
7/14/2015 16:00:00,35.08
7/15/2015 16:00:00,34.98
7/16/2015 16:00:00,35.1
7/17/2015 16:00:00,35.07
7/20/2015 16:00:00,35.24
7/21/2015 16:00:00,35.14
7/22/2015 16:00:00,34.88
7/23/2015 16:00:00,34.78
7/24/2015 16:00:00,34.26
7/27/2015 16:00:00,34.34
7/28/2015 16:00:00,35.35
7/29/2015 16:00:00,35.76
7/30/2015 16:00:00,35.73
7/31/2015 16:00:00,36.06
8/3/2015 16:00:00,36.15
8/4/2015 16:00:00,36.11
8/5/2015 16:00:00,35.82
8/6/2015 16:00:00,35.17
8/7/2015 16:00:00,35.19
8/10/2015 16:00:00,35.36
8/11/2015 16:00:00,35.12
8/12/2015 16:00:00,35.37
8/13/2015 16:00:00,35.36
8/14/2015 16:00:00,35.32
8/17/2015 16:00:00,35.5
8/18/2015 16:00:00,35.52
8/19/2015 16:00:00,35.27
8/20/2015 16:00:00,34.55
8/21/2015 16:00:00,33.54
8/24/2015 16:00:00,32.13
8/25/2015 16:00:00,31.34
8/26/2015 16:00:00,32.43
8/27/2015 16:00:00,33.26
8/28/2015 16:00:00,32.66
